number,name,classification,N,M,Nnl,Mnl,Nz,Fbest_raw,Fbest,feasible,in_uno_429_subset,mod_file_available,gms_file_available,dag_file_available,res_file_available,nl_file_available,nl_conversion_status,other_files,detail_page
2301,himmelbf,SUR2-AN,4,0,4,0,4,318.5717000,318.5717,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/himmelbf.htm
2302,himmelbg,OUR2-AN,2,0,2,0,2,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/himmelbg.htm
2303,himmelbh,OUR2-AN,2,0,2,0,2,-1.00E+060,-1e+60,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/himmelbh.htm
2304,himmelbi,OLR2-MN,100,12,65,0,200,-1755.0000000,-1755.0,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/himmelbi.htm
2305,himmelbj,OLR2-MY,45,16,43,0,128,,,,False,True,True,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/himmelbj.htm
2306,himmelbk,LOR2-MN,24,14,24,12,360,0.0518000,0.0518,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/himmelbk.htm
2307,himmelp1,OBR2-AN,2,2,2,0,2,-62.0539000,-62.0539,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/himmelp1.htm
2308,himmelp2,OQR2-AN,2,3,2,1,4,-62.0539000,-62.0539,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/himmelp2.htm
2309,himmelp3,OQR2-AN,2,4,2,2,6,-59.0131000,-59.0131,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/himmelp3.htm
2310,himmelp4,OQR2-AN,2,5,2,3,8,-59.0131000,-59.0131,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/himmelp4.htm
2311,himmelp5,OQR2-AN,2,5,2,3,8,-59.0131000,-59.0131,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/himmelp5.htm
2312,himmelp6,OQR2-AN,2,5,2,3,10,-59.0131000,-59.0131,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/himmelp6.htm
2313,hong,OLR2-AN,4,1,4,0,8,1.3473000,1.3473,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hong.htm
2314,hs001,SBR2-AN,2,1,2,0,2,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs001.htm
2315,hs002,SBR2-AN,2,1,2,0,2,0.0504000,0.0504,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs002.htm
2316,hs003,QBR2-AN,2,1,2,0,2,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs003.htm
2317,hs004,OBR2-AN,2,2,1,0,2,2.6667000,2.6667,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs004.htm
2318,hs005,OBR2-AN,2,2,2,0,2,-1.9132000,-1.9132,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs005.htm
2319,hs006,QQR2-AN,2,1,1,1,3,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs006.htm
2320,hs007,OOR2-AN,2,1,2,1,4,-1.7321000,-1.7321,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs007.htm
2321,hs008,CQR2-AN,2,2,2,2,4,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs008.htm
2322,hs009,OLR2-AN,2,1,2,0,4,-0.5000000,-0.5,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs009.htm
2323,hs010,LQR2-AN,2,1,2,1,4,-1.0000000,-1.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs010.htm
2324,hs011,SQR2-AN,2,1,2,1,4,-8.4985000,-8.4985,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs011.htm
2325,hs012,QQR2-AN,2,1,2,1,4,-30.0000000,-30.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs012.htm
2326,hs013,QOR2-AN,2,1,2,1,4,0.9801000,0.9801,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs013.htm
2327,hs014,SQR2-AN,2,2,2,1,6,1.3935000,1.3935,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs014.htm
2328,hs015,SQR2-AN,2,3,2,2,6,306.5000000,306.5,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs015.htm
2329,hs016,SQR2-AN,2,4,2,2,6,0.2500000,0.25,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs016.htm
2330,hs017,SQR2-AN,2,4,2,2,6,1.0000000,1.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs017.htm
2331,hs018,SQR2-AN,2,4,2,2,6,5.0000000,5.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs018.htm
2332,hs019,OQR2-AN,2,4,2,2,6,-6961.8176000,-6961.8176,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs019.htm
2333,hs020,SQR2-AN,2,4,2,3,8,38.1987000,38.1987,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs020.htm
2334,hs021,QLR2-AN,2,3,2,0,4,-99.9600000,-99.96,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs021.htm
2335,hs022,QQR2-AN,2,2,2,1,6,1.0000000,1.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs022.htm
2336,hs023,QQR2-AN,2,5,2,4,12,2.0000000,2.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs023.htm
2337,hs024,OLR2-AN,2,3,2,0,6,-1.0000000,-1.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs024.htm
2338,hs025,SBR2-AN,3,3,3,0,3,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs025.htm
2339,hs026,OOR2-AY,3,1,3,1,6,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs026.htm
2340,hs027,SQR2-AN,3,1,3,1,4,0.0400000,0.04,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs027.htm
2341,hs028,SLR2-AY,3,1,3,0,6,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs028.htm
2342,hs029,OQR2-AN,3,1,3,1,6,-22.6274000,-22.6274,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs029.htm
2343,hs030,QQR2-AN,3,4,3,1,5,1.0000000,1.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs030.htm
2344,hs031,QQR2-AN,3,4,3,1,5,6.0000000,6.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs031.htm
2345,hs032,SOR2-AY,3,2,3,1,9,1.0000000,1.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs032.htm
2346,hs033,OQR2-AN,3,3,3,2,8,-4.5858000,-4.5858,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs033.htm
2347,hs034,LOR2-AN,3,5,2,2,5,-0.8340000,-0.834,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs034.htm
2348,hs035,QLR2-AN,3,1,3,0,6,0.1111000,0.1111,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs035.htm
2349,hs036,OLR2-AN,3,4,3,0,6,-3300.0000000,-3300.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs036.htm
2350,hs037,OLR2-AN,3,2,3,0,6,-3456.0567000,-3456.0567,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs037.htm
2351,hs038,OBR2-AN,4,0,4,0,4,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs038.htm
2352,hs039,LOR2-AN,4,2,3,2,7,-1.0000000,-1.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs039.htm
2353,hs040,OOR2-AN,4,3,4,3,11,-0.2500000,-0.25,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs040.htm
2354,hs041,OLR2-AN,4,5,3,0,7,-2.0741000,-2.0741,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs041.htm
2355,hs042,SQR2-AN,4,2,3,1,5,13.8579000,13.8579,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs042.htm
2356,hs043,QQR2-AN,4,3,4,3,16,-44.0000000,-44.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs043.htm
2357,hs044,QLR2-AN,4,6,4,0,16,-15.0000000,-15.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs044.htm
2358,hs045,OBR2-AN,5,0,5,0,5,1.0000000,1.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs045.htm
2359,hs046,OOR2-AY,5,2,5,2,11,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs046.htm
2360,hs047,OOR2-AY,5,3,5,3,13,-0.0267000,-0.0267,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs047.htm
2361,hs048,SLR2-AY,5,2,5,0,13,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs048.htm
2362,hs049,OLR2-AY,5,2,5,0,11,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs049.htm
2363,hs050,OLR2-AY,5,3,5,0,14,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs050.htm
2364,hs051,QLR2-AY,5,3,5,0,12,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs051.htm
2365,hs052,QLR2-AY,5,3,5,0,12,5.3266000,5.3266,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs052.htm
2366,hs053,QLR2-AY,5,3,5,0,12,4.0930000,4.093,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs053.htm
2367,hs054,OLR2-AN,6,1,6,0,8,0.1929000,0.1929,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs054.htm
2368,hs055,OLR2-AN,6,6,2,0,19,6.3333000,6.3333,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs055.htm
2369,hs056,OOR2-AN,7,4,7,4,13,-3.4560000,-3.456,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs056.htm
2370,hs057,SQR2-AN,2,3,2,1,4,1.3234000,1.3234,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs057.htm
2371,hs059,OQR2-AN,2,3,2,3,8,-7.8028000,-7.8028,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs059.htm
2372,hs060,OOR2-AY,3,1,3,1,6,0.0326000,0.0326,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs060.htm
2373,hs061,QQR2-AN,3,2,3,2,7,-143.6461000,-143.6461,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs061.htm
2374,hs062,OLR2-AY,3,1,3,0,6,-26272.5222000,-26272.5222,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs062.htm
2375,hs063,QQR2-AY,3,2,3,1,9,-1038.2850000,-1038.285,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs063.htm
2376,hs064,OOR2-AN,3,1,3,1,6,6299.8375000,6299.8375,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs064.htm
2377,hs065,QQR2-AN,3,4,3,1,6,0.9535000,0.9535,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs065.htm
2378,hs066,LOR2-AN,3,5,2,2,6,0.5182000,0.5182,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs066.htm
2379,hs070,SQR2-MN,24,21,4,1,6,0.0089000,0.0089,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs070.htm
2380,hs071,OOR2-AY,4,2,4,2,12,17.0140000,17.014,True,True,True,True,True,True,True,skipped,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs071.htm
2381,hs072,LOR2-MN,4,6,4,2,12,727.5418000,727.5418,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs072.htm
2382,hs073,LOR2-MN,4,3,4,1,16,29.8944000,29.8944,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs073.htm
2383,hs074,OOR2-AY,4,4,4,3,12,5126.4980000,5126.498,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs074.htm
2384,hs075,OOR2-AY,4,4,4,3,12,5174.4100000,5174.41,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs075.htm
2385,hs076,QLR2-AN,4,3,4,0,14,-4.6818000,-4.6818,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs076.htm
2386,hs077,OOR2-AY,5,2,5,2,11,0.2415000,0.2415,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs077.htm
2387,hs078,OOR2-AN,5,3,5,3,16,-2.9197000,-2.9197,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs078.htm
2388,hs079,OOR2-AY,5,3,5,3,13,0.0788000,0.0788,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs079.htm
2389,hs080,OOR2-AN,5,3,5,3,16,0.0539000,0.0539,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs080.htm
2390,hs081,OOR2-AN,5,3,5,3,16,0.0539000,0.0539,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs081.htm
2391,hs083,QQR2-AN,5,3,5,3,16,-30665.5400000,-30665.54,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs083.htm
2392,hs084,QQR2-AN,5,3,5,3,20,-5280335.1332000,-5280335.1332,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs084.htm
2393,hs085,OOI2-MN,38,81,5,33,120,(-2.5008000),-2.5008,False,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs085.htm
2394,hs086,OLR2-AN,5,10,5,0,26,-32.3487000,-32.3487,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs086.htm
2395,hs087,OOI2-MN,6,4,3,4,27,8827.5977000,8827.5977,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs087.htm
2396,hs088,QOR2-MN,32,31,2,1,4,1.3618000,1.3618,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs088.htm
2397,hs089,QOR2-MN,33,31,3,1,6,1.3617000,1.3617,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs089.htm
2398,hs090,QOR2-MN,34,31,4,1,8,1.3625000,1.3625,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs090.htm
2399,hs091,QOR2-MN,35,31,5,1,10,1.3626000,1.3626,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs091.htm
2400,hs092,QOR2-MN,36,31,6,1,12,1.3625000,1.3625,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs092.htm
2401,hs093,OOR2-MY,6,2,6,2,18,135.0760000,135.076,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs093.htm
2402,hs095,LQR2-AN,6,4,5,4,26,0.0156000,0.0156,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs095.htm
2403,hs096,LQR2-AN,6,4,5,4,26,0.0156000,0.0156,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs096.htm
2404,hs097,LQR2-AN,6,4,5,4,26,3.1358000,3.1358,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs097.htm
2405,hs098,LQR2-AN,6,4,5,4,26,3.1358000,3.1358,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs098.htm
2406,hs099,OOR2-AN,23,18,7,14,51,-831079900.0000000,-831079900.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs099.htm
2407,hs100,OOR2-AN,7,4,7,4,26,680.6301000,680.6301,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs100.htm
2408,hs100lnp,OOR2-AN,7,2,7,2,17,680.6301000,680.6301,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs100lnp.htm
2409,hs100mod,OOR2-AN,7,4,7,4,28,678.7547000,678.7547,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs100mod.htm
2410,hs101,OOR2-AN,7,6,7,6,45,1809.7583000,1809.7583,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs101.htm
2411,hs102,OOR2-AN,7,6,7,6,45,911.8772000,911.8772,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs102.htm
2412,hs103,OOR2-AN,7,6,7,6,45,543.6669000,543.6669,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs103.htm
2413,hs104,OOR2-AN,8,6,8,6,25,3.9511000,3.9511,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs104.htm
2414,hs105,OLR2-AY,713,714,8,0,8,1136.3600000,1136.36,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs105.htm
2415,hs106,LQR2-MN,8,14,8,3,20,7049.2083000,7049.2083,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs106.htm
2416,hs107,OOR2-MY,15,20,7,6,36,5055.0082000,5055.0082,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs107.htm
2417,hs108,QQR2-AY,9,14,9,13,48,-0.8660000,-0.866,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs108.htm
2418,hs109,OOR2-AY,9,10,9,8,44,5326.8513000,5326.8513,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs109.htm
2419,hs110,SBR2-AN,10,0,10,0,10,-45.7785000,-45.7785,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs110.htm
2420,hs111,OOR2-AN,10,3,10,3,24,-47.7611000,-47.7611,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs111.htm
2421,hs111lnp,OOR2-AN,10,3,10,3,24,-47.7611000,-47.7611,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs111lnp.htm
2422,hs112,OLR2-MY,10,3,10,0,24,-47.7611000,-47.7611,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs112.htm
2423,hs113,QQR2-AN,10,8,10,5,42,24.3062000,24.3062,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs113.htm
2424,hs114,QOR2-MY,14,15,8,6,37,-1768.8074000,-1768.8074,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs114.htm
2425,hs116,LQR2-MN,13,28,10,10,49,97.5875000,97.5875,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs116.htm
2426,hs117,OQR2-AN,15,5,5,5,77,32.3487000,32.3487,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs117.htm
2427,hs118,QLR2-AN,15,17,15,0,54,664.8200000,664.82,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs118.htm
2428,hs119,OLR2-AN,16,8,16,0,69,244.8997000,244.8997,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs119.htm
2429,hs21mod,SLR2-AN,7,7,7,0,9,-95.9600000,-95.96,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs21mod.htm
2430,hs268,QLR2-AN,5,5,5,0,30,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs268.htm
2431,hs35mod,QLR2-AN,3,2,2,0,4,0.2500000,0.25,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs35mod.htm
2432,hs3mod,QBR2-AN,2,1,2,0,2,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs3mod.htm
2433,hs44new,QLR2-AN,4,6,4,0,14,-15.0000000,-15.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs44new.htm
2434,hs99exp,OOR2-AN,31,21,8,21,67,-1008062500.0000000,-1008062500.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hs99exp.htm
2435,hubfit,OLR2-AN,2,1,2,0,4,,,,True,True,False,True,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hubfit.htm
2436,hues-mod,QLR2-MN,10000,2,10000,0,30000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hues-mod.htm
2437,huestis,QLR2-MN,10000,2,10000,0,30000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/huestis.htm
2438,humps,SUR2-AN,2,0,2,0,2,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/humps.htm
2439,hvycrash,LOR2-AN,202,150,150,150,600,-0.0481000,-0.0481,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hvycrash.htm
2440,hypcir,NQR2-AN,2,2,2,2,4,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hypcir.htm
2441,indef,OUR2-AN,1000,0,1000,0,1000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/indef.htm
2442,integreq,NOR2-AN,102,100,100,100,10000,0.0000000,0.0,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/integreq.htm
2443,jensmp,OUR2-AN,2,0,2,0,2,124.3622000,124.3622,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/jensmp.htm
2444,kissing,LQR2-RN,127,903,126,903,6154,0.8445000,0.8445,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/kissing.htm
2445,kiwcresc,LQR2-AN,3,2,2,2,7,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/kiwcresc.htm
2446,kowosb,SUR2-MN,4,0,4,0,4,0.0003000,0.0003,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/kowosb.htm
2447,ksip,QLR2-AN,20,1001,20,0,20020,0.5758000,0.5758,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/ksip.htm
2448,lakes,QOR2-RN,90,78,90,18,300,350524.7811000,350524.7811,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/lakes.htm
2449,launch,OOR2-MY,25,29,25,11,149,(0.0000000),0.0,False,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/launch.htm
